Component,Category,Description,Part Number,Qty,Unit Price,Extended,Source,Notes,Validated,FMEA RPN
"Qualcomm QCS6490 SoM",Core Compute,"12 TOPS NPU, WiFi 6E, BT 5.4, 6nm",TurboX C6490,1,$140.00,$140.00,thundercomm.com,Main SoC replaces CM4,Jan 2026,54
"Hailo-10H AI Accelerator",Core Compute,"40 TOPS INT4, GenAI native, M.2",Hailo-10H,1,$90.00,$90.00,hailo.ai,Dedicated AI processing,Jan 2026,48
"ESP32-S3-WROOM-1-N4",Core Compute,"Co-processor for LED and sensors",ESP32-S3-WROOM-1-N4,1,$3.34,$3.34,digikey.com,LED/sensor control,Jan 2026,24
"1.39in Round AMOLED 454x454",Display,"Living eye interface, MIPI DSI - 38.8mm module VERIFIED fits",RM69330,1,$45.00,$45.00,kingtechdisplay.com,"Main display - VERIFIED 38.83×38.21×0.68mm",Jan 2026,40
"Dielectric Mirror Film 90mm",Display,"Non-metallic, touch-through",Custom,1,$45.00,$45.00,edmundoptics.com,Capacitive compatible,Jan 2026,140
"Daikin Optool DSX-E",Display,"Oleophobic anti-fingerprint coating",DSX-E,1,$45.00,$45.00,daikin.com,Surface protection,Jan 2026,36
"Infineon BGT60TR13C",Display,"60GHz radar, gesture sensing",BGT60TR13C,1,$25.00,$25.00,digikey.com,Proximity gestures,Jan 2026,48
"Sony IMX989 Camera Module",Camera,"1in 50.3MP flagship, hidden in pupil",IMX989,1,$95.00,$95.00,sincerefirst.com,CRITICAL: Hidden camera,Jan 2026,175
"sensiBel SBM100B",Audio,"Optical MEMS mic, -26dB SNR",SBM100B,4,$30.00,$120.00,sensibel.com,CRITICAL: Single source,Jan 2026,224
"XMOS XVF3800",Audio,"Voice processor, AEC/beamforming",XVF3800,1,$99.00,$99.00,openelab.com,Audio processing,Jan 2026,48
"Tectonic TEBM28C20N-4 BMR",Audio,"28mm balanced mode radiator, 360deg",TEBM28C20N-4,1,$25.00,$25.00,tectonic.com,Premium speaker,Jan 2026,32
"MAX98357A Amp",Audio,"I2S Class-D 3W mono",MAX98357A,1,$2.96,$2.96,digikey.com,Audio amplifier,Jan 2026,18
"HD108 16-bit RGBW LED",LEDs,"65536 levels/ch, 5050 package",HD108-5050,16,$0.50,$8.00,aliexpress.com,Ambient lighting,Jan 2026,24
"74AHCT125 Level Shifter",LEDs,"3.3V to 5V for LED data",74AHCT125PW,1,$0.64,$0.64,digikey.com,Signal level shift,Jan 2026,12
"TDK ICM-45686",Sensors,"6-axis IMU with on-chip AI",ICM-45686,1,$8.00,$8.00,invensense.com,Motion sensing,Jan 2026,24
"Sensirion SHT45",Sensors,"Temp/humidity, +/-0.1C accuracy",SHT45,1,$5.00,$5.00,sensirion.com,Thermal monitoring,Jan 2026,12
"ST VL53L8CX",Sensors,"8x8 zone ToF, 4m range",VL53L8CX,1,$12.00,$12.00,st.com,Proximity sensing,Jan 2026,32
